time,lat,lon,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-04-04T17:57:03.219Z,44.3212,-105.4509,0,3.2,ml,,113,1.036,0.94,us,us7000gzn4,2022-06-11T20:21:22.040Z,"5 km NE of Gillette, Wyoming",mining explosion,4.2,1.7,0.06,37,reviewed,us,us
2022-04-04T16:12:00.521Z,44.4586,-105.404,0,3,ml,,120,1.038,0.55,us,us7000gzlk,2022-06-11T20:21:22.040Z,"20 km NNE of Gillette, Wyoming",mining explosion,3.6,1.8,0.094,17,reviewed,us,us
2022-04-03T14:14:57.879Z,43.8027,-105.3213,0,3,ml,,134,0.981,0.85,us,us7000gzdk,2022-06-11T20:21:22.040Z,"14 km ENE of Wright, Wyoming",mining explosion,3.5,1.8,0.069,28,reviewed,us,us
2022-04-02T22:22:49.714Z,45.0826,-106.8848,0,2.7,ml,,98,1.671,0.36,us,us7000h0ec,2022-06-11T20:21:22.040Z,"29 km NE of Ranchester, Wyoming",mining explosion,4.4,1.7,0.081,25,reviewed,us,us
2022-04-01T22:53:05.691Z,44.507,-105.4976,0,2.7,ml,,123,1.117,0.85,us,us7000h06u,2022-06-04T20:42:37.040Z,"23 km N of Gillette, Wyoming",mining explosion,3.6,1.7,0.077,22,reviewed,us,us
2022-04-01T22:01:29.515Z,44.185,-105.4376,0,2.6,ml,,105,1.011,1.14,us,us7000h06y,2022-06-04T20:42:37.040Z,"5 km SSE of Antelope Valley-Crestview, Wyoming",mining explosion,3.4,1.8,0.071,26,reviewed,us,us
2022-03-30T19:47:06.197Z,43.6845,-105.3094,0,3.2,ml,,126,1.018,0.29,us,us7000gzm1,2022-06-04T20:42:25.040Z,"16 km ESE of Wright, Wyoming",mining explosion,11.1,1.4,0.048,56,reviewed,us,us
2022-03-29T19:33:31.792Z,43.7227,-105.2768,0,2.9,ml,,96,0.981,0.86,us,us7000gy77,2022-06-04T20:42:20.040Z,"17 km E of Wright, Wyoming",mining explosion,5,1.7,0.044,68,reviewed,us,us
2022-03-28T17:07:44.570Z,45.1341,-106.9205,0,3.3,ml,,98,1.629,1.04,us,us7000gxw2,2022-06-04T20:42:14.040Z,"31 km NE of Ranchester, Wyoming",mining explosion,4.9,1.5,0.045,64,reviewed,us,us
2022-03-28T14:30:36.519Z,43.8233,-105.4642,0,2.9,ml,,108,1.073,0.78,us,us7000gxuw,2022-06-04T20:42:13.040Z,"8 km NNE of Wright, Wyoming",mining explosion,4.8,1.8,0.048,56,reviewed,us,us
2022-03-27T20:03:32.798Z,43.7582,-105.2679,0,3.1,ml,,80,0.961,0.55,us,us7000gxqq,2022-06-04T20:42:11.040Z,"18 km E of Wright, Wyoming",mining explosion,2.6,1.7,0.057,40,reviewed,us,us
2022-03-27T18:14:29.844Z,43.5531,-105.244,0,2.6,ml,,158,1.042,1.44,us,us7000gys5,2022-06-04T20:42:10.040Z,"29 km SE of Wright, Wyoming",mining explosion,6.5,1.8,0.071,26,reviewed,us,us
2022-03-24T21:00:54.810Z,40.6671,-109.4886,0,3.1,ml,,95,0.114,0.64,us,us7000gwzs,2022-05-28T18:35:34.040Z,"22 km NNE of Maeser, Utah",mining explosion,2.1,1.7,0.03,146,reviewed,us,us
2022-03-24T19:51:01.709Z,45.9621,-106.49,0,3.2,ml,,122,0.749,0.83,us,us7000gwz9,2022-05-28T18:35:34.040Z,"13 km NE of Colstrip, Montana",mining explosion,6,1.9,0.052,48,reviewed,us,us
2022-03-23T20:31:23.209Z,43.8039,-105.3173,0,3.1,ml,,113,0.978,0.23,us,us7000gwml,2022-05-28T18:35:28.040Z,"15 km ENE of Wright, Wyoming",mining explosion,8.4,1.7,0.045,64,reviewed,us,us
2022-03-20T21:28:25.125Z,43.7251,-105.1729,0,3.3,ml,,119,0.912,0.7,us,us6000h69n,2022-05-28T18:35:21.040Z,"25 km E of Wright, Wyoming",mining explosion,3,1.8,0.044,68,reviewed,us,us
2022-03-20T18:05:59.180Z,43.7416,-105.317,0,2.9,ml,,71,1,0.6,us,us6000h67w,2022-05-28T18:35:21.040Z,"14 km E of Wright, Wyoming",mining explosion,7.7,1.8,0.071,26,reviewed,us,us
2022-03-19T23:52:04.413Z,44.4455,-105.5913,0,2.5,ml,,117,1.163,0.76,us,us7000gwuv,2022-05-28T18:35:31.040Z,"18 km NNW of Gillette, Wyoming",mining explosion,4.4,1.2,0.074,24,reviewed,us,us
2022-03-16T20:04:27.392Z,43.8113,-105.3053,0,3,ml,,83,0.967,1,us,us6000h571,2022-05-27T14:55:29.040Z,"16 km ENE of Wright, Wyoming",mining explosion,4.7,1.6,0.047,60,reviewed,us,us
2022-03-16T18:28:15.341Z,45.1082,-106.843,0,3.3,ml,,185,1.716,1.27,us,us6000h56c,2022-05-27T14:55:29.040Z,"33 km NE of Ranchester, Wyoming",mining explosion,3.9,1.8,0.043,70,reviewed,us,us
2022-03-16T17:26:29.003Z,44.1242,-105.3248,0,3,ml,,103,0.928,0.96,us,us6000h6h7,2022-05-27T14:55:41.040Z,"15 km SSE of Sleepy Hollow, Wyoming",mining explosion,4.3,1.8,0.051,50,reviewed,us,us
2022-03-13T19:13:22.316Z,43.6221,-105.3596,0,3.1,ml,,121,1.079,0.76,us,us6000h47u,2022-05-27T14:55:22.040Z,"17 km SE of Wright, Wyoming",mining explosion,3.1,1.7,0.066,30,reviewed,us,us
2022-03-11T16:19:04.818Z,45.8375,-106.7722,0,3.2,ml,,98,0.932,0.93,us,us6000h3tr,2022-05-14T21:52:16.040Z,"12 km WSW of Colstrip, Montana",mining explosion,5.4,1.8,0.064,32,reviewed,us,us
2022-03-09T21:09:21.375Z,43.7171,-105.3652,0,3.2,ml,,70,1.042,0.32,us,us6000h3eg,2022-05-14T21:52:16.040Z,"10 km ESE of Wright, Wyoming",mining explosion,6.6,1.8,0.046,74,reviewed,us,us
2022-03-09T18:14:38.206Z,47.6523,-92.4811,0,2.9,ml,,85,0.726,1.22,us,us6000h3d3,2022-05-14T21:52:16.040Z,"14 km NNE of Virginia, Minnesota",mining explosion,2,1.9,0.105,12,reviewed,us,us
2022-03-06T21:10:43.801Z,43.7329,-105.4044,0,2.9,ml,,79,1.062,0.63,us,us6000h2lm,2022-05-14T21:52:15.040Z,Wyoming,mining explosion,4.8,1.7,0.046,62,reviewed,us,us
2022-03-06T19:03:20.602Z,43.7201,-105.3322,0,3.1,ml,,78,1.019,0.51,us,us6000h2ku,2022-05-14T21:52:15.040Z,"13 km ESE of Wright, Wyoming",mining explosion,5.6,1.4,0.069,28,reviewed,us,us
2022-03-05T21:21:13.839Z,44.0038,-105.2695,0,2.8,ml,,73,0.897,0.83,us,us6000h2fu,2022-05-14T21:52:15.040Z,"29 km SSE of Sleepy Hollow, Wyoming",mining explosion,6.4,1.4,0.064,38,reviewed,us,us
2022-03-05T21:07:27.021Z,43.7243,-105.3542,0,3.4,ml,,70,1.031,0.46,us,us6000h2fp,2022-05-14T21:52:15.040Z,"11 km ESE of Wright, Wyoming",mining explosion,5.9,1.8,0.045,78,reviewed,us,us
2022-03-04T20:27:31.376Z,43.7279,-105.156,0,3.1,ml,,75,0.899,0.99,us,us6000h25b,2022-05-07T21:32:32.040Z,"27 km E of Wright, Wyoming",mining explosion,5.8,1.8,0.045,66,reviewed,us,us
2022-03-04T19:01:44.349Z,43.8367,-105.2357,0,3.1,ml,,51,0.911,0.65,us,us6000h24z,2022-05-07T21:32:32.040Z,"22 km ENE of Wright, Wyoming",mining explosion,5.6,1.9,0.041,78,reviewed,us,us
